type,county,name,address,hours,days
Food Pantry,Baltimore City,Trinity Apostolic Faith,"3600 N. Rogers Ave., Baltimore, MD 21207",9:30am-12pm,Sun
Food Pantry,Baltimore City,United House of Prayer,"3401 Edgewood Rd., Baltimore, MD 21215",9am-6pm,"Sat, Sun"
Food Pantry,Baltimore City,Unity UMC Church,"1433 Edmonson Ave., Baltimore, MD 21223",10am-12pm,"Thu, Fri"
Food Pantry,Baltimore City,Walker Co-Op,"1 Cooperative Dr., Baltimore, MD 21212",10am-12pm,Tue
Food Pantry,Baltimore City,Washington Village,"904 Washington Blvd., Baltimore, MD 21230",9am-5pm,Mon-Fri
Food Pantry,Baltimore City,Wayland Baptist Church,"3200 Garrison Blvd., Baltimore, MD 21216",10am-12pm,"Mon, Tue"
Food Pantry,Baltimore City,Whitestone Baptist Church,"3001 Baker St., Baltimore, MD 21216",11:30am-1pm,Wed
Food Pantry,Baltimore City,Wyman House Pantry,"123 West 29th St., Baltimore, MD 21218",12pm-8pm,Mon-Fri
Food Pantry,Baltimore City,Xemra Pantry,"101 E 22nd Street, Baltimore, MD 21218",10am-2pm,Mon-Fri
Food Pantry,Baltimore City,Zion Baptist Church,"1700 N Caroline St., Baltimore, MD 21213",9:30am-12pm,Mon-Fri
Food Pantry,Baltimore City,Zion Outreach Services Inc.,"1221 Argyle Ave., Baltimore, MD 21217",11am-1:30pm,"Tue, Thu"
Food Pantry,Baltimore County,Alliance Inc,"9201 Philadelphia Rd., Balto., MD 21237",8:30am-5pm,Mon-Fri
Food Pantry,Baltimore County,Back River United Methodist,"544 Back River Neck Rd., Baltimore, MD 21221",By appointment,
Food Pantry,Baltimore County,Balto. Co. Dept. of Aging/Indiv. & Family Svcs. Div.,"611 Central Ave., Towson, MD 21204",Restricted,
Food Pantry,Baltimore County,Balto. Co. Health Dept. Geriatric Services,"1 Investment Pl. 11th Fl., Towson, MD 21204",8:30am-4:30pm,Mon-Fri
Food Pantry,Baltimore County,Community Asst. Network Inc,"7701 Dunmanway, Dundalk MD 21222","9:30am-11:30am, 1:30pm-3:30pm",Mon-Fri
Food Pantry,Baltimore County,Community Crisis Ctr./Reisterstown Utd. Meth. Ch.,"725 Main St., Reisterstown, MD 21136 / 15 Woodsman Ct., Owings Mills, MD 21117",10am-1pm,Mon-Fri
Food Pantry,Baltimore County,Eastern Interfaith Outreach,"531 Eastern Bend, Essex, MD 21221",10am-2pm,"Mon,Wed,Fri"
Food Pantry,Baltimore County,Edgemere Church of God,"7414 Ellen Ave., P.O. Box 6686, Balto. MD",9am-5pm,"Sun,Wed,Th"
Food Pantry,Baltimore County,Essex Utd. Methodist Church,"524 Maryland Ave., Balto., MD 21221",10:30am-12:30pm,"Tue,Th"
Food Pantry,Baltimore County,First Baptist Church of Essex,"911 Mace Avenue, Balto., MD 21221",9am-12noon,Mon-Th
Food Pantry,Baltimore County,Friendship Baptist Church,"307½ Avondale Rd., Balto., MD 21222",Restricted,
Food Pantry,Baltimore County,Good Samaritan Ministry Union Bethel AME Church,"8615 Church Lane, Randallstown, MD 21133",Vary,By appt.
Food Pantry,Baltimore County,Greater St. John BC,"103 Carver Road, Baltimore, MD 21222",Restricted,
Food Pantry,Baltimore County,Helping Hands Food Pantry,"7901 Bradshaw Rd., P.O. Box 192, Upper Falls, MD 21156",9am-12noon,Mon-Fri
Food Pantry,Baltimore County,Hopkins Village,"3 Brett Court, Balto., MD 21212",Restricted,
Food Pantry,Baltimore County,Key Point Health Services Inc,"7701 Dunmanway, Baltimore, MD 21222",Vary,Vary
Food Pantry,Baltimore County,Ironworkers-Local #16 Union Hall,"2008 Merrin Ave., Balto., MD 21222",7am-4pm,Mon-Fri
Food Pantry,Baltimore County,J & C Unity Christian Church,"101 Back Riverneck Rd., Balto., MD 21221",Vary,Mon-Fri
Food Pantry,Baltimore County,Kingsley Park Apts.,"1600 Gail Rd., #1, Balto., MD 21221",9am-5:30pm,Mon-Fri
Food Pantry,Baltimore County,The Liberty Assistance Ctr.,"9019 Liberty Rd., Randallstown, MD 21113",10am-2pm,"Mon,Wed,Th,Fri"
Food Pantry,Baltimore County,Morning Star Baptist Church Food Pantry,"154 Winters Ave., Balto., MD 21228",9am-1pm,"Mon,Wed,Fri"
Food Pantry,Baltimore County,Mount Olive Baptist Church,"651 Mount Olive Rd., Balto., MD 21222",10am-5pm,Sun-Sat
Food Pantry,Baltimore County,Mount Olivet UM Church,"823 Edmondson Ave., Catonsville, MD 21228",Vary,"Tue,Th,Sat"
Food Pantry,Baltimore County,New Horizon Baptist Church,"2200 St. Luke Lane, Baltimore, MD 21207",8am-4pm,Sat
