type,county,name,address,hours,days
Soup Kitchen,Baltimore City,Salvation Army,"2700 W. Patapsco Ave., Balto., MD 21230",5:30am-6:30pm,Everyday
Soup Kitchen,Baltimore City,Second Shiloh,"1355 Homestead St., Balto., MD 21218",,"Wed, Thu"
Soup Kitchen,Baltimore City,Sharp Street Memorial,"1206 Etting St., Balto., MD 21217",1pm-3pm,"Wed,Fri"
Soup Kitchen,Baltimore City,St. Ambrose,"3445 Park Heights Ave., Balto., MD 21215",8am-4pm,Mon-Sat
Soup Kitchen,Baltimore City,St. Cecilia's Kitchen,"3300 Clifton Ave., Balto., MD 21216",,
Soup Kitchen,Baltimore City,St. Gregory,"1542 N. Gilmore St., Balto., MD 21217",12noon-2pm,Th
Soup Kitchen,Baltimore City,St. James UMC,"1901 W. Lexington St., Balto., MD 21223",,
Soup Kitchen,Baltimore City,St. Phillips Baptist Church,"1014 N. Carrollton Ave., Balto., MD 21217",,
Soup Kitchen,Baltimore City,Supper Club,"1728 Eastern Ave., Balto., MD 21218",5:30pm-7pm,Wed
Soup Kitchen,Baltimore City,Temple House,"802 N. Fulton Ave., Balto., MD 21217",,Everyday
Soup Kitchen,Baltimore City,United Brethren for Christ,"2112 McCulloh St., P.O Box 16461, Balto. MD 21217",,Everyday
Soup Kitchen,Baltimore City,Unity UMC,"1433 Edmondson Ave., Balto., MD 21223",,
Soup Kitchen,Baltimore City,Valley House,"28 South Broadway, Balto., MD 21231",,Everyday
Soup Kitchen,Baltimore City,Waters AME,"417 N. Aisquith St., Balto., MD 21202",,Sat
Soup Kitchen,Baltimore City,Wayland Baptist,"3200 Garrison Blvd., Balto., MD 21216",,Wed
Soup Kitchen,Baltimore County,Hiding Place,"Dunwoody Road, Towson, MD",,
Soup Kitchen,Baltimore County,Nehima House,"8720 Philadelphia Rd., Balto., MD 21237",,
Soup Kitchen,Baltimore County,Family Crisis Ctr. of Balto. Co.,"P.O. Box 3909 Balto., MD",,
Soup Kitchen,Baltimore County,St. Clare Church,"Essex Community Kitchen, Essex, MD",,
Soup Kitchen,Carroll,Carpenter's Table St. Joseph's Catholic Church,"44 Frederick St., Taneytown MD 21787",11:30am,Thur
Soup Kitchen,Carroll,Shoemaker House,"Springfield Hospital Grounds, Sykesville, MD 21784",,
Soup Kitchen,Cecil,Meeting Ground,"P.O. Box 808, Elkton, MD 21921",Shelter,
Soup Kitchen,Frederick,Community Action Council,"100 South Market St., Frederick MD 21701","2pm-4pm, 7pm-9pm","Mon,Tue,Th,Fri, Wed"
Soup Kitchen,Harford,Children of Life,"539 Jamestown Court, Edgewood, MD 21040",,
Soup Kitchen,Harford,Manna House,"21 Linwood Ave., Bel Air, MD 21014",11:30am-1pm,Wed
Soup Kitchen,Harford,SARC,"21 W. Courtland St., Bel Air, MD 21014",Call,
Soup Kitchen,Harford,Sharing Table,"3479 Albantown Way, Edgewood, MD 21040",11:30am-1pm,Sat
Soup Kitchen,Montgomery,Bethesda Cares-First Baptist Church,"5033 Wilson Lane, Bethesda, MD 20814",1pm-2pm,Mon-Fri (1st to 15th of month)
Soup Kitchen,Montgomery,Bethesda Cares-Christ Lutheran Church,"8011 Old Georgetown Rd., Bethesda, MD 20814",1pm-2pm,Mon-Fri (16th to end of month)
Soup Kitchen,Montgomery,Bethesda Cares-Presbyterian Church,"7611 Carendon Lane, Bethesda, MD 20814",11am-12pm,Sat
Soup Kitchen,Montgomery,Bethesda Cares-Our Lady of Lourdes Cath. Church,"7500 Pearl Ave., Bethesda, MD 20814",,Sunday Dinner
Soup Kitchen,Montgomery,Gaithersburg Community Soup Kitchen Lord's Table,"201 South Frederick Avenue, Gaithersburg, MD 20877",3:30pm-4:30pm,Sept.-June
Soup Kitchen,Montgomery,Shepherd's Table,"8210A Colonial Lane, Silver Spring, MD 20910-5540",,
Soup Kitchen,Prince George's,Deliverance Temple,"3918 Alton St., Capitol Hgts., MD 20743",12:00pm-2pm,Mon-Thu
Soup Kitchen,Prince George's,Freedom Way,"1250 Benning Rd., Capitol Heights, MD 20743",6pm-8pm,Wed
Soup Kitchen,Prince George's,Harvest Temple,"6608 Wilkens Place, Forestville, MD 20747",12pm-4pm,Tue-Thu
Soup Kitchen,Prince George's,"Teen Challenge, Inc","6900 Central Ave., Capitol Hgts., MD 20743",,Shelter
Soup Kitchen,Prince George's,Transitional Center @ PG City Housing,"603 Addison Rd., Capitol Heights, MD 20743",,Housing
Soup Kitchen,Prince George's,Transitional Housing PG City DSS,"6599 Spring Hill Drive Apt. #102, Greenbelt, MD 20770",,Housing
Soup Kitchen,Washington,Salvation Army,"524 West Franklin St., Hagerstown, MD",Call,Call
Soup Kitchen,Washington,Wells House,"324 N. Locust St., Hagerstown, MD 21740",Call,
Soup Kitchen,Washington,Zion Soup Kitchen,"201 N. Potomac St., Hagerstown, MD 21740",5pm-8pm,Tue
Soup Kitchen,Wicomico,"Christian Shelter, Inc.","334 Barclay St., Salisbury, MD 21804",12pm-6pm,Mon-Fri
Soup Kitchen,Wicomico,First Baptist Soup Kitchen,"528 Booth St., Salisbury, MD 21801",10:45-12pm,Mon
Soup Kitchen,Wicomico,Hebron Community Kitchen/St. Paul's United Methodist Church,"204 East Walnut St., Hebron, MD 21830",2pm-4pm,1st & 3rd Saturdays
Soup Kitchen,Wicomico,Joseph House Crisis Center,"812 Boundary St., Salisbury, MD 21802",10:30am-12pm,"Tue, Wed, Thur"
Soup Kitchen,Wicomico,Life Crisis Center,"P.O. Box 387, Salisbury, MD 21803-0387",When needed,When needed
