Record_ID,ObjectId,Store_Name,State,City,Additonal_Address,County,Grantee_Name,Incentive_Program,Latitude,Longitude,Store_Street_Address,Store_Type,Zip4,Zip_Code
1122893,108913,Dollar Tree 5313,MD,Capitol Heights,,Prince Georges,,,38.866684,-76.850365,1771 Ritchie Station Ct,Other,5064.0,20743
1123037,108987,Walmart Supercenter 5968,DC,Washington,,Dist Of Columbia,,,38.962139,-77.027901,5929 Georgia Ave NW,Super Store,5101.0,20011
1075703,109041,Walmart 3843,MD,DENTON,,Caroline,,,38.874653,-75.821465,610 LEGION RD,Super Store,,21629
1075992,109075,Dollar General 14160,MD,Parkville,,Baltimore City,,,39.370243,-76.545967,7350 Harford Rd,Other,7129.0,21234
1076006,109078,Lotte Plaza,MD,Catonsville,,Baltimore,,,39.287727,-76.764381,6600 Baltimore National Pike,Super Store,,21228
1650020,109258,Costco Wholesale 0330,MD,Frederick,,Frederick,,,39.401722,-77.407623,10 Monocacy Blvd,Super Store,7256.0,21704
1649990,109261,Costco Wholesale 0203,MD,Glen Burnie,,Anne Arundel,,,39.19659,-76.600685,575 E Ordnance Rd,Super Store,6575.0,21060
1092593,109330,Harris Teeter 382,MD,Ellicott City,,Howard,,,39.299477,-76.896248,11075 Resort Rd,Super Store,2065.0,21042
1091703,109435,Weis Markets 228,MD,Townson,,Baltimore,,,39.393196,-76.581017,1238 Putty Hill Ave,Supermarket,,21286
1091704,109436,Weis Markets 229,MD,Windsor Mills,,Baltimore,,,39.312756,-76.752533,7005 Security Blvd,Supermarket,,21244
1208681,109496,Franklin Liquors & Market,DC,Washington,,Dist Of Columbia,,,38.925381,-76.996124,2723 7th St NE,Convenience Store,1306.0,20017
1076532,109654,Aldi 71043,MD,Westminster,Ste B,Carroll,,,39.585751,-76.989189,400 Englar Rd,Supermarket,6187.0,21157
1092749,109688,Walgreens 15360,DC,Washington,,Dist Of Columbia,,,38.900009,-77.021873,801 7th St NW,Other,3717.0,20001
1124767,109722,ALDI 71045,MD,Beltsville,,Prince Georges,,,39.032974,-76.911995,10912 Baltimore Ave,Supermarket,2116.0,20705
1076817,109775,Wegmans 60,MD,Gambrills,,Anne Arundel,,,39.03273,-76.686028,1413 S Main Chapel Way,Supermarket,1843.0,21054
1075230,109906,Family Dollar 5464,DC,Washington,,Dist Of Columbia,,,38.965656,-77.027451,6217 Georgia Ave NW,Other,5111.0,20011
1214635,110037,Walmart Supercenter 2436,MD,Sykesville,Ste 1,Carroll,,,39.397537,-76.931908,6400A Ridge Rd,Super Store,6272.0,21784
1214778,110068,Dollar Tree 6167,MD,Bowie,,Prince Georges,,,38.907223,-76.71843,1334 Crain Hwy,Other,1802.0,20716
1214791,110077,Walmart Supercenter 3035,DC,Washington,,Dist Of Columbia,,,38.95752,-77.00209,310 Riggs Rd NE,Super Store,2534.0,20011
1214953,110088,Royal Farms 208,MD,Grasonville,,Queen Annes,,,38.965309,-76.221352,108 Jackson Creek Rd,Convenience Store,1086.0,21638
1208989,110272,FRESHFARM Dupont Circle Farmers Market,DC,Washington,,Dist Of Columbia,,,38.909733,-77.044922,1500 20th St Nw,Farmers and Markets,1002.0,20036
1209038,110280,Grubb's Pharmacy Se Inc. 100,DC,Washington,,Dist Of Columbia,DC Central Kitchen Inc,,38.867577,-76.98806,1800 Martin Luther King Jr Ave SE,Other,6900.0,20020
1212336,110537,Dollar General 14452,MD,Churchton,,Anne Arundel,,,38.815025,-76.544968,5481 Muddy Creek Rd,Other,2401.0,20733
1215800,110591,ALDI 71048 71048,MD,Nottingham,,Baltimore,,,39.393967,-76.486061,8808 Belair Rd,Supermarket,2401.0,21236
1216397,110739,Dollar General 16811,MD,Salisbury,,Wicomico,,,38.375713,-75.591934,1005 N Salisbury Blvd,Other,3641.0,21801
1215964,110748,Friendly Mart,MD,Temple Hills,,Prince Georges,,,38.833294,-76.959618,2308 Iverson St,Convenience Store,6801.0,20748
1215976,110755,Save A Lot 951,MD,Baltimore,,Baltimore City,,,39.339161,-76.667206,2705 W Cold Spring Ln,Supermarket,6701.0,21215
1650052,111161,Costco Wholesale 1124,MD,Silver Spring,,Montgomery,,,39.036804,-77.055084,11160 Veirs Mill Rd,Super Store,2538.0,20902
1641432,111162,Crownsville Exxon,MD,Crownsville,,Anne Arundel,,,39.031387,-76.603264,1335 Generals Hwy,Convenience Store,2038.0,21032
