record_id,object_id,name,address,additional_address,city,county,state,zip,latitude,longitude,store_type
1259257,148280,Weis Markets 290,12100 Central Ave,,Mitchellville,Prince Georges,MD,20721,38.899338,-76.796906,Supermarket
1259258,148281,Weis Markets 276,15789 Livingston Rd,,Accokeek,Prince Georges,MD,20607,38.669781,-77.008842,Supermarket
1259259,148282,Weis Markets 277,3261 Solomons Island Rd,,Edgewater,Anne Arundel,MD,21037,38.928013,-76.568161,Supermarket
1259260,148283,Weis Markets 278,100 Drury Dr,,La Plata,Charles,MD,20646,38.548683,-76.984039,Supermarket
1259261,148284,Weis Markets 279,750 Prince Frederick Blvd,,Prince Frederick,Calvert,MD,20678,38.553143,-76.596024,Supermarket
1259262,148285,Weis Markets 280,5715 Crain Hwy,,Upper Marlboro,Prince Georges,MD,20772,38.811054,-76.739708,Supermarket
1259344,148298,Highs Of Baltimore LLC 3,20215 Professional Blvd,,Hagerstown,Washington,MD,21742,39.624249,-77.673332,Convenience Store
1259349,148299,Highs Of Baltimore LLC 48,1624 Annapolis Rd,,Odenton,Anne Arundel,MD,21113,39.105503,-76.722504,Convenience Store
1258369,148353,Dollar General 15286,2744 Augustine Herman Hwy,,Chesapeake City,Cecil,MD,21915,39.512863,-75.826126,Other
1260388,148563,La Colonia Supermarket,4901 Allentown Rd,,Suitland,Prince Georges,MD,20746,38.81802,-76.891266,Super Store
1311113,148640,Mom & Pops Store,3500 Williams Wharf Rd,,Saint Leonard,Calvert,MD,20685,38.44902,-76.561874,Grocery Store
1311131,148645,Moos Llc,5010 Benning Rd SE,,Washington,Dist Of Columbia,DC,20019,38.878139,-76.931358,Convenience Store
1311454,148702,Carroll Fuel Mart 1,304 E Main St,,Westminster,Carroll,MD,21157,39.565975,-76.987122,Convenience Store
1257672,148845,Weis Markets 291,15300 McMullen Hwy SW,,Cumberland,Allegany,MD,21502,39.586918,-78.839966,Supermarket
1257673,148846,Weis Markets 292,6375 Monroe Ave,,Eldersburg,Carroll,MD,21784,39.397602,-76.925117,Supermarket
1257674,148847,Weis Markets 293,17600 Old National Pike SW,,Frostburg,Allegany,MD,21532,39.649834,-78.908363,Supermarket
1257675,148848,Weis Markets 294,9251 Lakeside Blvd,,Owings Mills,Baltimore,MD,21117,39.398396,-76.790337,Supermarket
1257676,148849,Weis Markets 295,10 Village Center Rd,,Reisterstown,Baltimore,MD,21136,39.46822,-76.830956,Supermarket
1257680,148851,Acme 0896,751 S Salisbury Blvd,,Salisbury,Wicomico,MD,21801,38.35453,-75.600708,Supermarket
1257685,148855,Dollar Tree 3531,1762 Merritt Blvd,,Dundalk,Baltimore,MD,21222,39.268219,-76.50441,Other
1400001,148950,Grace Grocery NO,2435 W Lafayette Ave,,Baltimore,Baltimore City,MD,21216,39.298191,-76.656357,Convenience Store
1400025,148954,7-eleven 11709c,8014 Liberty Rd,,Windsor Mill,Baltimore,MD,21244,39.352985,-76.754791,Convenience Store
1457872,149065,Dollar General 22213,291 Maple Street,,Friendsville,Garrett,MD,21531,39.663982,-79.40728,Other
1383801,149392,Eastern Grocery & Mas 1,6810 Eastern Ave,,Baltimore,Baltimore City,MD,21224,39.28812,-76.530632,Grocery Store
1363824,149424,Absolute Mart,228 N Eutaw St,,Baltimore,Baltimore City,MD,21201,39.292633,-76.621193,Convenience Store
1363843,149431,One Stop Convenience,321 Stemmers Run Rd,,Essex,Baltimore,MD,21221,39.324471,-76.459045,Convenience Store
1363938,149448,Eko International Foods Na,6580 Ager Rd,,Hyattsville,Prince Georges,MD,20782,38.97134,-76.979332,Grocery Store
1588358,149572,7-eleven 26252c,3855 Old Town Rd,,Huntingtown,Calvert,MD,20639,38.615482,-76.613014,Convenience Store
1363160,149574,Bowman's Butcher Shop,3452 Churchville Rd,,Aberdeen,Harford,MD,21001,39.538334,-76.2174,Specialty Store
1363431,149642,7-eleven 11586b,13251 Atlantic Ave,,Rockville,Montgomery,MD,20851,39.074059,-77.115662,Convenience Store
1458158,149727,Ocean City Organics,11944 Ocean Gtwy,Ste C,Ocean City,Worcester,MD,21842,38.33696,-75.140297,Grocery Store
1458320,149784,Md Halal Market,4715 Sellman Rd,Ste C,Beltsville,Prince Georges,MD,20705,39.033978,-76.910423,Grocery Store
1362642,149814,Royal Farms 244,6901 Van Dusen Rd,,Laurel,Prince Georges,MD,20707,39.081123,-76.886803,Convenience Store
1362900,149897,Happy Family Mart,700B Cherry Hill Rd,,Brooklyn,Baltimore City,MD,21225,39.24971,-76.623764,Grocery Store
1458059,149988,Mike's Corner,163 Main St,,Preston,Caroline,MD,21655,38.713112,-75.908379,Convenience Store
1384414,150082,CVS Pharmacy 10588,4701 Wilkens Ave,,Catonsville,Baltimore,MD,21228,39.264336,-76.699844,Other
1649856,150162,Lidl 1461,15 E Padonia Rd,,Lutherville Timonium,Baltimore,MD,21093,39.455563,-76.630669,Super Store
1385259,150170,Lion Xpress,1252 Jacob Tome Memorial Hwy,,Port Deposit,Cecil,MD,21904,39.634956,-76.074028,Convenience Store
1570562,150198,A To Z Grocery Store,3225 Pennsylvania Ave SE,,Washington,Dist Of Columbia,DC,20020,38.868546,-76.959633,Convenience Store
1575196,150200,Nannfe Market,13535 Clopper Rd,,Germantown,Montgomery,MD,20874,39.162338,-77.280174,Grocery Store
1260873,150332,Surprise Market 1,2233 Minnesota Ave Se,,Washington,Dist Of Columbia,DC,20020,38.871632,-76.974319,Grocery Store
1261659,150415,Royal Farms 167,31954 Summer Drive,,Salisbury,Wicomico,MD,21804,38.374187,-75.504417,Convenience Store
1261008,150517,Weis Markets 275,219 Marlboro Ave,,Easton,Talbot,MD,21601,38.780445,-76.080086,Supermarket
1261193,150541,Dollar Tree 7032,2375 N Rolling Rd,Unit B,Baltimore,Baltimore,MD,21244,39.323498,-76.759094,Other
1261200,150547,Dollar General 16482,71 E Main St,,Lonaconing,Allegany,MD,21539,39.571545,-78.975266,Other
1261212,150553,Wawa 8512,302 W Pulaski Hwy,,Elkton,Cecil,MD,21921,39.603794,-75.840172,Convenience Store
1261344,150576,Harris Teeter 324,15501 Annapolis Rd,,Bowie,Prince Georges,MD,20715,38.979267,-76.735268,Super Store
1262413,150632,Royal Farms 180,11510 Reisterstown Rd,,Owings Mills,Baltimore,MD,21117,39.440338,-76.805893,Convenience Store
1385006,150774,Dollar General 20261,655 N Bridge St,,Elkton,Cecil,MD,21921,39.616028,-75.838081,Other
1263013,150915,Save A Lot 61282,2509 E Monument St,,Baltimore,Baltimore City,MD,21205,39.298481,-76.581764,Supermarket
1263021,150920,Family Dollar 5990,5636 THE ALAMEDA,,BALTIMORE,Baltimore City,MD,21239,39.358692,-76.594826,Other
