Record_ID,ObjectId,Store_Name,State,City,Additonal_Address,County,Grantee_Name,Incentive_Program,Latitude,Longitude,Store_Street_Address,Store_Type,Zip4,Zip_Code
1360036,246461,Quick Mart,MD,Dundalk,,BALTIMORE,,,39.272812,-76.494667,300 Trappe Rd,Convenience Store,2231,21222
820834,246505,Laumans Meats,MD,Baltimore,Ste 13,BALTIMORE CITY,,,39.287521,-76.635956,26 S Arlington Ave,Other,    ,21223
1684168,246506,Minnesota Ave Farmers' Market,DC,Washington,,DIST OF COLUMBIA,,,38.907398,-76.934601,4701 Minnesota Ave NE,Farmers and Markets,3824,20019
1224085,246583,301 Travel Plaza,MD,Upper Marlboro,,PRINCE GEORGES,,,38.842472,-76.727325,3511 Crain Hwy,Convenience Store,8976,20774
972210,246618,Gude Drive Liberty,MD,Rockville,,MONTGOMERY,,,39.098305,-77.136681,1298 East Gude Drive,Convenience Store,1303,20850
978357,246720,Raihan Mini Mart 1,MD,Baltimore,,BALTIMORE CITY,,,39.293049,-76.620026,300 N Howard St,Convenience Store,3639,21201
1612939,246746,Sara Food Mart LLC,MD,Baltimore,,BALTIMORE CITY,,,39.287472,-76.566917,403 S Conkling St,Grocery Store,2404,21224
1658032,246795,24/7 Tobacco & Convenience Store,DC,Washington,,DIST OF COLUMBIA,,,38.949223,-76.992508,4944 South Dakota Ave NE,Convenience Store,3915,20017
1613124,246835,Chateaux Cocoa,MD,Upper Marlboro,,PRINCE GEORGES,,,38.815926,-76.753853,14504 Main St,Farmers and Markets,3011,20772
1622974,246949,Souf East Earthlings BLK,DC,Washington,,DIST OF COLUMBIA,,,38.832809,-77.000008,413 Xenia St SE,Farmers and Markets,3723,20032
1619294,246962,The Fresh Market 259,MD,Gambrills,Ste 100,ANNE ARUNDEL,,,39.020184,-76.693619,1161 State Rt 3 N,Supermarket,    ,21054
1624147,247061,Dollar General 24136,MD,Oakland,,GARRETT,,,39.409309,-79.385216,4500 Rowland Hill,Other,    ,21550
1621483,247144,DT Market,DC,Washington,,DIST OF COLUMBIA,,,38.850468,-76.975067,2101 Alabama Ave SE,Convenience Store,2815,20020
1610320,247233,3 Stars Tobacco And Convenience Store 1,MD,Baltimore,,BALTIMORE CITY,,,39.28968,-76.646873,1852 W Fayette St,Convenience Store,1625,21223
1616780,247237,C-Mart,MD,Dundalk,,BALTIMORE CITY,,,39.272999,-76.530685,6700 Brentwood Ave,Convenience Store,1736,21222
1619848,247245,Mini Market Latino,MD,Dundalk,,BALTIMORE,,,39.256851,-76.522102,75 Shipping Pl,Convenience Store,4320,21222
1617196,247253,Loudon Convenience And Tobacco 1,MD,Baltimore,,BALTIMORE CITY,,,39.293465,-76.682434,3939 Edmondson Ave,Convenience Store,2902,21229
717588,247263,Stan Evans Seafood/DBA Jessie Taylor Seafood,DC,Washington,Ste 2,DIST OF COLUMBIA,,,38.881226,-77.028053,1100 Maine Ave SW,Other,2423,20024
1613637,247309,Maplelawn Farmers Market NAFMNP,MD,Fulton,,HOWARD,,,39.161064,-76.901825,7405 Maple Lawn Blvd,Farmers and Markets,2569,20759
1616346,247400,SNW Petroleum LLC 1,MD,Towson,,BALTIMORE,,,39.401711,-76.599342,201 E Joppa Rd,Convenience Store,3202,21286
1680862,247416,DOLLARTREE 10782,MD,Germantown,Ste A,MONTGOMERY,,,39.198578,-77.248047,20906 Frederick Rd,Other,4122,20876
1620470,247452,Brookland Supermarket & Deli,DC,Washington,,DIST OF COLUMBIA,,,38.926132,-76.995872,2815 7th St NE,Convenience Store,1309,20017
1621765,247478,One Stop Tobacco & Convenience 1,MD,Baltimore,,BALTIMORE CITY,,,39.334469,-76.674118,3521 Dolfield Ave,Convenience Store,6125,21215
1658440,247549,7-eleven#41268b 41268B,MD,Ocean City,,WORCESTER,,,38.339642,-75.155022,11624 Ocean Gtwy,Convenience Store,9863,21842
1613757,247590,Penny Mart 09,MD,Emmitsburg,,FREDERICK,,,39.704723,-77.326683,7 E Main St,Convenience Store,9209,21727
1616939,247591,Dollar Plus C Store 1,DC,Washington,,DIST OF COLUMBIA,,,38.89756,-76.925682,609 Division Ave NE,Convenience Store,5457,20019
1619447,247603,Rivera Latino Market,MD,Lothian,Ste 500,ANNE ARUNDEL,,,38.831631,-76.614235,5078 Solomons Island Rd,Convenience Store,2919,20711
1618130,247779,Horizon Corner Store 5263,MD,Hagerstown,,WASHINGTON,,,39.643932,-77.725769,8 S Walnut St,Convenience Store,5414,21740
1619690,247822,Clinton Convenience 1,MD,Clinton,,PRINCE GEORGES,,,38.782269,-76.899635,6200 Coventry Way,Convenience Store,1555,20735
1618122,247829,Dana Bazaar,MD,Rockville,,MONTGOMERY,,,39.052513,-77.109978,12215 Nebel St,Grocery Store,2613,20852
1623388,247842,7-eleven 11572B,MD,Silver Spring,,MONTGOMERY,,,39.061092,-77.051712,12405 Georgia Ave,Convenience Store,3607,20906
1653251,248059,Green Mart 33,MD,Baltimore,,BALTIMORE CITY,,,39.328823,-76.609657,3308 Greenmount Ave,Convenience Store,2838,21218
1614281,248105,Mini Stop Deli,MD,Baltimore,,BALTIMORE CITY,,,39.286713,-76.569199,3320 Eastern Ave,Convenience Store,4194,21224
1618668,248178,Corner Mart,MD,Aberdeen,,Harford,,,39.521854,-76.179413,1026 Middleton Rd,Convenience Store,2281,21001
933779,248250,Sheger International Market,MD,Takoma Park,,MONTGOMERY,,,38.975552,-76.993279,912 E West Hwy,Convenience Store,5935,20912
1662682,248260,Grocery Outlet Of Milford Mill 757,MD,Windsor Mill,,BALTIMORE,,,39.355049,-76.758736,3602 Milford Mill Rd,Supermarket,3328,21244
529190,248273,B & O Food Market,MD,Baltimore,,BALTIMORE CITY,,,39.287037,-76.631882,898 W Lombard St,Convenience Store,1058,21201
1624257,248274,Wawa Store 8545,MD,Perryville,,CECIL,,,39.596401,-76.071327,400 Chesapeake Overlook Ct,Convenience Store,    ,21903
1410516,248308,Fdk Groceries,MD,Frederick,Ste A,FREDERICK,,,39.412628,-77.399132,430 E Patrick St,Convenience Store,6155,21701
1608063,248368,Badan Grocery,MD,Baltimore,,BALTIMORE CITY,,,39.301991,-76.594162,1001 N Broadway,Grocery Store,1233,21205
